"time","x","y","position","velocity","acceleration","jerk","heading"
0,3,17.5,0,0,10,0,0
0.04,3.08944,17.5,0.0894427,0.4,10,0,0.0128516
0.08,3.17889,17.5,0.178885,0.8,10,0,0.0257032
0.12,3.26833,17.5,0.268328,1.2,10,0,0.0385548
0.16,3.35777,17.5,0.357771,1.6,10,0,0.0514065
0.2,3.44721,17.5,0.447214,2,10,0,0.0642581
0.24,3.53666,17.5001,0.536656,2.4,10,0,0.0771097
0.28,3.6261,17.5002,0.626099,2.8,10,0,0.0899613
0.32,3.71554,17.5003,0.715542,3.2,10,0,0.102813
0.36,3.80498,17.5004,0.804984,3.6,10,0,0.115665
0.4,3.89443,17.5006,0.894427,4,10,0,0.128516
0.44,3.98387,17.5007,0.98387,4.4,10,0,0.141368
0.48,4.17699,17.5012,1.17699,4.8,10,0,0.203404
0.52,4.39292,17.5019,1.39293,5.2,10,0,0.276263
0.56,4.60886,17.5029,1.60886,5.6,10,0,0.349121
0.6,4.82479,17.5042,1.82479,6,10,0,0.421979
0.64,5.05306,17.5058,2.05308,6.4,10,0,0.508713
0.68,5.33446,17.5085,2.33449,6.8,10,0,0.655135
0.72,5.61585,17.5118,2.6159,7.2,10,0,0.801557
0.76,5.89723,17.5159,2.89731,7.6,10,0,0.947979
0.8,6.21187,17.5214,3.21199,8,10,0,1.14811
0.84,6.5456,17.5285,3.5458,8.4,10,0,1.37911
0.88,6.87929,17.537,3.8796,8.8,10,0,1.6101
0.92,7.24176,17.5479,4.24223,9.2,7.5777,0,1.89307
0.96,7.6204,17.5614,4.62111,9.6,3.78885,0,2.20536
1,7.99897,17.5769,5,10,1.31954e-05,0,2.51764
1.04,8.39852,17.5958,5.4,10,7.91724e-06,0,2.86793
1.08,8.79795,17.6171,5.8,10,2.63907e-06,0,3.21822
1.12,9.19723,17.6411,6.2,10,0,0,3.52178
1.16,9.59636,17.6674,6.6,10,0,0,3.77861
1.2,9.99538,17.6955,7,10,0,0,4.03545
1.24,10.3943,17.7251,7.4,10,0,0,4.2119
1.28,10.7931,17.7558,7.8,10,0,0,4.38834
1.32,11.1918,17.7878,8.2,10,0,0,4.42072
1.36,11.5906,17.8195,8.6,10,0,0,4.30902
1.4,11.9894,17.8505,9,10,0,0,4.19733
1.44,12.3883,17.8799,9.4,10,0,0,4.00429
