"time","x","y","position","velocity","acceleration","jerk","heading"
0,3,14.475,0,0,0,0,0
0.04,3.09012,14.475,0.0901185,2.25296,56.3241,1408.1,0.0128516
0.08,3.18025,14.475,0.180247,2.25321,0.00624998,-1407.95,0.0257032
0.12,3.27037,14.475,0.270366,2.25296,-0.00625004,-0.312501,0.0385548
0.16,3.36048,14.475,0.360484,2.25296,3.23624e-06,0.156332,0.0514065
0.2,3.4506,14.475,0.450603,2.25296,-3.38446e-06,-0.000165517,0.0642581
0.24,3.54073,14.4751,0.540731,2.25321,0.00628515,0.157213,0.0771097
0.28,3.63085,14.4752,0.63085,2.25296,-0.00625002,-0.313379,0.0899613
0.32,3.72097,14.4753,0.720968,2.25296,3.25709e-06,0.156332,0.102813
0.36,3.81109,14.4754,0.811087,2.25296,9.83543e-06,0.000164459,0.115665
0.4,3.90122,14.4756,0.901216,2.25322,0.00632193,0.157802,0.128516
0.44,3.99133,14.4757,0.991334,2.25296,-0.00632213,-0.316101,0.141368
0.48,4.18773,14.4762,1.18773,4.9099,66.4233,1660.74,0.203404
0.52,4.40751,14.4769,1.40751,5.49445,14.6137,-1295.24,0.276263
0.56,4.62729,14.478,1.6273,5.49472,0.00695526,-365.168,0.349121
0.6,4.84707,14.4793,1.84708,5.49451,-0.00525115,-0.30516,0.421979
0.64,5.07992,14.4809,2.07993,5.82137,8.17143,204.417,0.508713
0.68,5.36905,14.4837,2.36908,7.22859,35.1804,675.224,0.655135
0.72,5.65817,14.4871,2.65822,7.2285,-0.00225347,-879.566,0.801557
0.76,5.94728,14.4913,2.94736,7.22851,0.000325731,0.0644801,0.947979
0.8,6.27248,14.497,3.27261,8.13136,22.5711,564.27,1.14811
0.84,6.6184,14.5044,3.61861,8.65004,12.967,-240.103,1.37911
0.88,6.96429,14.5132,3.96461,8.64984,-0.00487599,-324.297,1.6101
0.92,7.34169,14.5246,4.34218,9.43934,19.7375,493.559,1.89307
0.96,7.73681,14.5386,4.73755,9.88421,11.1217,-215.394,2.20536
1,8.13185,14.5548,5.13292,9.88436,0.00378975,-277.948,2.51764
1.04,8.54987,14.5746,5.55141,10.4623,14.4477,361.098,2.86793
1.08,8.96777,14.5969,5.9699,10.4623,0.000470883,-361.181,3.21822
1.12,9.38305,14.6218,6.38593,10.4007,-1.54002,-38.5124,3.52178
1.16,9.79571,14.649,6.79949,10.3389,-1.54517,-0.128554,3.77861
1.2,10.2083,14.678,7.21305,10.3392,0.00823848,38.8351,4.03545
1.24,10.6165,14.7083,7.62239,10.2333,-2.64739,-66.3907,4.2119
1.28,11.0246,14.7397,8.03168,10.2324,-0.0232925,65.6025,4.38834
1.32,11.425,14.7718,8.43337,10.0423,-4.75226,-118.224,4.42072
1.36,11.8179,14.8031,8.82753,9.85402,-4.7069,1.13391,4.30902
1.4,12.2108,14.8336,9.22164,9.85266,-0.033954,116.824,4.19733
1.44,12.5995,14.8623,9.61143,9.74476,-2.69754,-66.5897,4.00429
1.48,12.9884,14.8897,10.0012,9.7449,0.00360914,67.5288,3.81124
1.52,13.3732,14.9151,10.3868,9.64056,-2.60842,-65.3007,3.53957
1.56,13.754,14.9375,10.7683,9.5374,-2.57912,0.732398,3.18926
1.6,14.135,14.9576,11.1499,9.53906,0.0415151,65.516,2.83896
1.64,14.5164,14.9754,11.5317,9.54561,0.163671,3.05391,2.49597
1.68,14.898,14.9908,11.9137,9.54799,0.0596279,-2.60109,2.15298
1.72,15.2808,15.004,12.2966,9.5746,0.665171,15.1386,1.82996
1.76,15.6646,15.0151,12.6806,9.59911,0.612841,-1.30825,1.52689
1.8,16.0485,15.0242,13.0646,9.60031,0.0299937,-14.5712,1.22383
1.84,16.4358,15.0314,13.4519,9.68301,2.06743,50.9359,0.984229
1.88,16.8231,15.0372,13.8393,9.68484,0.0457078,-50.543,0.744627
1.92,17.2126,15.0413,14.2289,9.739,1.35401,32.7076,0.546445
1.96,17.6043,15.0444,14.6205,9.79088,1.29716,-1.42128,0.389678
2,17.996,15.0463,15.0122,9.79321,0.0581814,-30.9745,0.232913
2.04,18.3922,15.0474,15.4084,9.9049,2.79236,68.3543,0.160837
2.08,18.7884,15.0479,15.8046,9.90487,-0.000766028,-69.828,0.0887605
2.12,19.1897,15.0478,16.206,10.0333,3.21137,80.3034,0.114011
2.16,19.5962,15.0479,16.6124,10.1618,3.21133,-0.000971818,0.236582
2.2,20.0027,15.049,17.0189,10.1618,0.000873642,-80.2614,0.359156
2.24,20.4204,15.0518,17.4366,10.443,7.02922,175.709,0.694604
2.28,20.8381,15.0571,17.8544,10.4435,0.0137665,-175.386,1.03005
2.32,21.2594,15.0655,18.2758,10.536,2.31102,57.4314,1.43654
2.36,21.6844,15.0778,18.701,10.6295,2.33771,0.667336,1.91406
2.4,22.1094,15.0936,19.1263,10.6322,0.0679861,-56.7432,2.39157
2.44,22.5341,15.1133,19.5514,10.6283,-0.0966977,-4.1171,2.86898
2.48,22.9587,15.1366,19.9766,10.6301,0.0449013,3.53998,3.34639
2.52,23.3785,15.163,20.3973,10.5159,-2.85598,-72.5221,3.73735
2.56,23.7936,15.1916,20.8134,10.4031,-2.81964,0.908574,4.04188
2.6,24.2086,15.2225,21.2295,10.402,-0.0267053,69.8234,4.3464
2.64,24.6112,15.2545,21.6333,10.0969,-7.62738,-190.017,4.42064
2.68,25.0138,15.2869,22.0373,10.0978,0.0202707,191.191,4.49489
2.72,25.4084,15.3194,22.4332,9.89882,-4.97352,-124.845,4.41734
