"time","x","y","position","velocity","acceleration","jerk","heading"
0,0,0,0,0,34,0,0
0.04,0.164924,0,0.164924,1.36,34,0,0
0.08,0.329848,0,0.329848,2.72,34,0,0
0.12,0.494773,0,0.494773,4.08,34,0,0
0.16,0.659697,0,0.659697,5.44,34,0,0
0.2,0.824621,0,0.824621,6.8,34,0,0
0.24,0.989545,0,0.989545,8.16,34,0,0
0.28,1.37292,0,1.37292,9.52,34,0,0
0.32,1.77108,0,1.77108,10.88,34,0,0
0.36,2.22057,0,2.22057,12.24,34,0,0
0.4,2.73946,0,2.73946,13.6,34,0,0
0.44,3.30646,0,3.30646,14.96,34,0,0
0.48,3.92197,0,3.92197,16.32,34,0,0
0.52,4.61006,0,4.61006,17.68,34,0,0
0.56,5.34144,0,5.34144,19.04,34,0,0
0.6,6.12419,0,6.12419,20.4,34,0,0
0.64,6.96452,0,6.96452,21.76,34,0,0
0.68,7.8647,0,7.8647,23.12,34,0,0
0.72,8.8172,0,8.8172,24.48,-21.5694,0,0
0.76,9.77845,0,9.77845,23.6373,-34,0,0
0.8,10.6947,0,10.6947,22.2773,-34,0,0
0.84,11.5562,0,11.5562,20.9173,-34,0,0
0.88,12.3646,0,12.3646,19.5573,-34,0,0
0.92,13.1242,0,13.1242,18.1973,-34,0,0
0.96,13.8229,0,13.8229,16.8373,-34,0,0
1,14.4594,0,14.4594,15.4773,-34,0,0
1.04,15.0632,0,15.0632,14.1173,-34,0,0
1.08,15.5821,0,15.5821,12.7573,-34,0,0
1.12,16.0775,0,16.0775,11.3973,-34,0,0
1.16,16.4756,0,16.4756,10.0373,-34,0,0
1.2,16.8738,0,16.8738,8.67727,-34,0,0
1.24,17.1127,0,17.1127,7.31727,-34,0,0
1.28,17.2776,0,17.2776,5.95727,-34,0,0
1.32,17.4425,0,17.4425,4.59727,-34,0,0
1.36,17.6074,0,17.6074,3.23727,-34,0,0
1.4,17.7723,0,17.7723,1.87727,-34,0,0
1.44,17.9373,0,17.9373,0.517268,-34,0,0
