"time","x","y","position","velocity","acceleration","jerk","heading"
0,0,100,0,0,37,0,0
0.04,0.172047,100,0.172047,1.48,37,0,0
0.08,0.344093,100,0.344093,2.96,37,0,0
0.12,0.51614,100,0.51614,4.44,37,0,0
0.16,0.688186,100,0.688186,5.92,37,0,0
0.2,0.860233,100,0.860233,7.4,37,0,0
0.24,1.07793,100,1.07793,8.88,37,0,0
0.28,1.49329,100,1.49329,10.36,37,0,0
0.32,1.90864,100,1.90864,11.84,37,0,0
0.36,2.42224,100,2.42224,13.32,37,0,0
0.4,2.96355,100,2.96355,14.8,37,0,0
0.44,3.59885,100,3.59885,16.28,37,0,0
0.48,4.27347,100,4.27347,17.76,37,0,0
0.52,5.00251,100,5.00251,19.24,37,0,0
0.56,5.80865,100,5.80865,20.72,37,0,0
0.6,6.66854,100,6.66854,22.2,37,0,0
0.64,7.5857,100,7.5857,23.68,37,0,0
0.68,8.56165,100,8.56165,25.16,37,0,0
0.72,9.59674,100,9.59674,26.64,37,0,0
0.76,10.6907,100,10.6907,28.12,11.4445,0,0
0.8,11.8245,100,11.8245,28.5307,-30.5083,0,0
0.84,12.9433,100,12.9433,27.2782,-37,0,0
0.88,14.0059,100,14.0059,25.7982,-37,0,0
0.92,15.0082,100,15.0082,24.3182,-37,0,0
0.96,15.95,100,15.95,22.8382,-37,0,0
1,16.8301,100,16.8301,21.3582,-37,0,0
1.04,17.6499,100,17.6499,19.8782,-37,0,0
1.08,18.4122,100,18.4122,18.3982,-37,0,0
1.12,19.1243,100,19.1243,16.9182,-37,0,0
1.16,19.7664,100,19.7664,15.4382,-37,0,0
1.2,20.3443,100,20.3443,13.9582,-37,0,0
1.24,20.8856,100,20.8856,12.4782,-37,0,0
1.28,21.3276,100,21.3276,10.9982,-37,0,0
1.32,21.743,100,21.743,9.51822,-37,0,0
1.36,22.0656,100,22.0656,8.03822,-37,0,0
1.4,22.2376,100,22.2376,6.55822,-37,0,0
1.44,22.4097,100,22.4097,5.07822,-37,0,0
1.48,22.5817,100,22.5817,3.59822,-37,0,0
1.52,22.7538,100,22.7538,2.11822,-37,0,0
1.56,22.9258,100,22.9258,0.63822,-37,0,0
